ID,X,Y
1,599,543
2,472,604
3,539,416
4,429,501
5,138,489
6,212,303
7,473,109
8,620,82
9,756,219
10,870,109
11,897,390
12,870,502
13,738,522
14,593,303
15,674,246
16,415,379
17,290,405
18,608,365
19,512,555
